priorite,identite_canonique_proposee,type_propose,univers,pays_identite_ou_perimetre,aliases_observes,groupe_parent_prouve,domaine_officiel,portail_carriere,ATS,preuve,verifie_le,confiance_identite,confiance_source,validation_technique,statut,offres_sous_identites_ou_domaine_base,identites_base,present_dans_roster_728,notes,avant_activation
P1,Jacquemus,MAISON,FASHION,FR,JACQUEMUS,NON_ETABLI,jacquemus.com,https://jobs.eu.lever.co/jacquemus,Lever EU,https://jobs.eu.lever.co/jacquemus,2026-09-08,DOMAINE_ET_IDENTITE_DOCUMENTES,NON_CALIBREE; portail cité ne vaut pas validation de collecte,NON_EXECUTEE_PENDANT_AUDIT,SOURCE_A_VALIDER,0,,True,37 annonces nommées et une candidature spontanée visibles; absence d’identité en base; ne pas compter la candidature spontanée comme poste.,Identité + propriétaire du portail; alias et groupe; tenant unique; robots daté; parse réel sans écriture; pagination complète; géographie et marque par offre; validation revue. Aucune activation pendant cet audit.
P1,Saint James,MAISON,FASHION,FR,SAINT JAMES | Tricots Saint James,NON_ETABLI,saint-james.com,https://rejoindrenotreequipage.saint-james.com/,WeRecruit,https://fr.saint-james.com/pages/08-notre-equipe,2026-09-08,DOMAINE_ET_IDENTITE_DOCUMENTES,NON_CALIBREE; portail cité ne vaut pas validation de collecte,NON_EXECUTEE_PENDANT_AUDIT,SOURCE_A_VALIDER,0,,True,Portail relié officiellement; 5 offres affichées; signature WeRecruit observée.,Identité + propriétaire du portail; alias et groupe; tenant unique; robots daté; parse réel sans écriture; pagination complète; géographie et marque par offre; validation revue. Aucune activation pendant cet audit.
P1,Armor-lux,MAISON,FASHION,FR,Armor Lux | Bonneterie d’Armor,NON_ETABLI,armorlux.com,https://careers.werecruit.io/fr/armor-lux,WeRecruit,https://www.armorlux.com/,2026-09-08,DOMAINE_ET_IDENTITE_DOCUMENTES,NON_CALIBREE; portail cité ne vaut pas validation de collecte,NON_EXECUTEE_PENDANT_AUDIT,SOURCE_A_VALIDER,0,,True,Lien Recrutement officiel vers WeRecruit; volume complet non établi.,Identité + propriétaire du portail; alias et groupe; tenant unique; robots daté; parse réel sans écriture; pagination complète; géographie et marque par offre; validation revue. Aucune activation pendant cet audit.
P1,Aesop,MAISON,BEAUTY,FR / international,AESOP,L’Oréal,aesop.fr,https://www.aesop.fr/careers.html,Avature + Workday,https://www.aesop.fr/careers.html,2026-09-08,DOMAINE_ET_IDENTITE_DOCUMENTES,NON_CALIBREE; portail cité ne vaut pas validation de collecte,NON_EXECUTEE_PENDANT_AUDIT,SOURCE_A_VALIDER,0,,True,Deux parcours officiels : boutiques via careers.loreal.com et bureaux via aesop.wd3.myworkdayjobs.com. Couverture éventuelle sous L’Oréal à isoler avant ajout.,Identité + propriétaire du portail; alias et groupe; tenant unique; robots daté; parse réel sans écriture; pagination complète; géographie et marque par offre; validation revue. Aucune activation pendant cet audit.
P1,Rouje,MAISON,FASHION,FR,,NON_ETABLI,rouje.com,"https://fr.fashionjobs.com/entreprise/rouje,105406,67371.html",FashionJobs,https://www.rouje.com/pages/marque-employeur,2026-09-08,DOMAINE_ET_IDENTITE_DOCUMENTES,NON_CALIBREE; portail cité ne vaut pas validation de collecte,NON_EXECUTEE_PENDANT_AUDIT,SOURCE_A_VALIDER,0,ROUJE,True,Company existe mais zéro offre active; lien officiel confirmé; vérifier couverture FashionJobs existante avant créer un nouveau flux.,Identité + propriétaire du portail; alias et groupe; tenant unique; robots daté; parse réel sans écriture; pagination complète; géographie et marque par offre; validation revue. Aucune activation pendant cet audit.
P1,Groupe NOVI,GROUP,BEAUTY,FR,NOVI,NON_ETABLI,groupe-novi.com,https://groupe-novi.com/nous-rejoindre/,Portail web; ATS non établi,https://groupe-novi.com/nous-rejoindre/,2026-09-08,DOMAINE_ET_IDENTITE_DOCUMENTES,NON_CALIBREE; portail cité ne vaut pas validation de collecte,NON_EXECUTEE_PENDANT_AUDIT,SOURCE_A_VALIDER,0,,True,Offres datées visibles. Beauty Success est déjà couvert (109 offres); ne pas le recréer. Établir les relations vers les autres enseignes.,Identité + propriétaire du portail; alias et groupe; tenant unique; robots daté; parse réel sans écriture; pagination complète; géographie et marque par offre; validation revue. Aucune activation pendant cet audit.
P1,L’Atelier du Sourcil,RETAILER,BEAUTY,FR,L'Atelier du sourcil,NON_ETABLI,NON_VERIFIE,https://groupe-novi.com/nous-rejoindre/,NON_IDENTIFIE,https://catwalks.io/maisons/l-atelier-du-sourcil,2026-09-08,A_CONFIRMER,NON_CALIBREE; portail cité ne vaut pas validation de collecte,NON_EXECUTEE_PENDANT_AUDIT,IDENTITE_ET_SOURCE_A_CONFIRMER,0,,True,Piste de portail groupe; lien de propriété à documenter explicitement avant rattachement. 5 offres sur Catwalks recrutement ne prouvent pas 5 offres dans cet agrégateur.,Identité + propriétaire du portail; alias et groupe; tenant unique; robots daté; parse réel sans écriture; pagination complète; géographie et marque par offre; validation revue. Aucune activation pendant cet audit.
P1,Messika,MAISON,JEWELRY_WATCHES,FR,MESSIKA PARIS,NON_ETABLI,messika.com,https://www.linkedin.com/company/messika,LinkedIn / JobTeaser; flux non validé,https://fr.linkedin.com/posts/messika_hiring-messika-activity-7433088582057185280-u-8D,2026-09-08,DOMAINE_ET_IDENTITE_DOCUMENTES,NON_CALIBREE; portail cité ne vaut pas validation de collecte,NON_EXECUTEE_PENDANT_AUDIT,SOURCE_A_VALIDER,0,,True,Communication employeur officielle. REJETER le portail trouvé intitulé Messika Demo sur softgarden : pas de preuve de portail de production.,Identité + propriétaire du portail; alias et groupe; tenant unique; robots daté; parse réel sans écriture; pagination complète; géographie et marque par offre; validation revue. Aucune activation pendant cet audit.
P1,Bon Parfumeur,MAISON,BEAUTY,FR,Bon Parfumeur Paris,NON_ETABLI,bonparfumeur.com,NON_TROUVE,NON_IDENTIFIE,https://www.bonparfumeur.com/fr,2026-09-08,DOMAINE_ET_IDENTITE_DOCUMENTES,NON_CALIBREE; portail cité ne vaut pas validation de collecte,NON_EXECUTEE_PENDANT_AUDIT,PORTAIL_NON_ETABLI,0,,True,Identité commerciale vérifiée; aucun portail carrière officiel exploitable confirmé. Zéro offre ne peut pas être interprété comme absence de recrutement.,Identité + propriétaire du portail; alias et groupe; tenant unique; robots daté; parse réel sans écriture; pagination complète; géographie et marque par offre; validation revue. Aucune activation pendant cet audit.
P1,Essential Parfums,MAISON,BEAUTY,FR,ESSENTIAL PARFUMS,NON_ETABLI,essentialparfums.com,NON_TROUVE,NON_IDENTIFIE,https://us.essentialparfums.com/,2026-09-08,DOMAINE_ET_IDENTITE_DOCUMENTES,NON_CALIBREE; portail cité ne vaut pas validation de collecte,NON_EXECUTEE_PENDANT_AUDIT,PORTAIL_NON_ETABLI,0,,True,Identité commerciale vérifiée; aucun portail carrière officiel exploitable confirmé. Zéro offre ne peut pas être interprété comme absence de recrutement.,Identité + propriétaire du portail; alias et groupe; tenant unique; robots daté; parse réel sans écriture; pagination complète; géographie et marque par offre; validation revue. Aucune activation pendant cet audit.
