maison,ats,config_json,job_count,evidence
Ralph Lauren Fragrances,NONE,,0,"Licensed fragrance line operated by L'Oreal (Designer Brands); no separate employer entity. GET https://careers.loreal.com/en_US/jobs/SearchJobs/?search=Ralph+Lauren&listFilterMode=1 -> 200 with 0 unique JobDetail ids (negative control ZZZQQNOPE -> 0, filter proven real). Hiring runs under L'Oreal's own Avature portal, not a Ralph Lauren feed. || Brand-level check (no OWN careers site/ATS): No own careers infrastructure - a licence/product brand operated by L'Oreal with no separate employer entity. https://www.ralphlaurenfragrances.com/ returns HTTP 403 to plain curl (Akamai WAF) while robots.txt serves 'User-agent: *' with no blanket Disallow, so headless Chromium was used. Rendered page = 566382 bytes and its XHR traffic confirms L'Oreal operation: https://loreal.us-1.evergage.com/api2/event/ralphlauren and p.cquotient.com tla=aang-ralphlauren-us siteId=ralphlauren-us (the same Salesforce Commerce realm AANG used by shuuemura-usa). Full footer link extraction returned the complete customer-service map (contact, FAQs, privacy, terms, order status, returns, accessibility, sitemap, rewards) with ZERO careers/jobs/recruitment entry. The brand's own /en_US/customer-service/customer-service-sitemap.html is itself 403 to curl so it could not be independently enumerated. Covered by the parent portal careers.loreal.com (Avature, already verified)."
Rami Al Ali,NONE,,0,"https://ramialali.com/robots.txt 200 (Shopify, Allow: /). Full page sitemap https://ramialali.com/sitemap_pages_1.xml?from=113054023988&to=137250013492 200 = 49 locs, 0 careers/recrut/job matches. /pages/{careers,jobs,work-with-us,join-us} all 404. /pages/company 200 = Rami Al Ali Fashion Design LLC Dubai, no careers wording. WTTJ slug rami-al-ali nbHits=0, free-text 'Rami Al Ali' nbHits=0. Greenhouse/Lever 404. Small Dubai couture house, no careers infrastructure."
Raymond Weil,NONE,,0,"https://www.raymond-weil.com/robots.txt 200 (Shopify, Allow: /). Page sitemap 200 = 42 locs, 0 careers matches. /pages/{careers,jobs,carrieres} all 404. careers.raymond-weil.com and jobs.raymond-weil.com = DNS no-resolve (curl 000, not 403). Homepage grep for career/recrut/emploi/job/vacancy = 0 hits. WTTJ slug raymond-weil nbHits=0, free-text nbHits=0. Greenhouse 404. Independent Swiss watch brand, no careers site."
Redken,Avature,"{""origin"": ""https://careers.loreal.com"", ""vendor"": ""Avature"", ""listingUrl"": ""https://careers.loreal.com/en_US/jobs/SearchJobs/?search={BRAND}&listFilterMode=1"", ""dedupe"": ""trailing numeric JobDetail id"", ""brandQuery"": ""Redken""}",7,"Parent L'Oreal portal = Avature. robots careers.loreal.com: 'Allow: /careers', jobs not disallowed. GET https://careers.loreal.com/en_US/jobs/SearchJobs/?search=Redken&listFilterMode=1 -> 200. Deduped on trailing numeric JobDetail id (same ids recur under fr_FR, confirmed). Negative control search=ZZZQQNOPE -> 0 unique ids, so the filter is real. 7 unique ids, all Redken-attributable titles (e.g. 'Regional Educator Redken', 'Manager Global Marketing HairCare Styling REDKEN DMI'). || Brand-level check (no OWN careers site/ATS): PROVEN by the brand's own careers page explicitly deferring to the parent. robots.txt https://www.redken.com/robots.txt HTTP 200 = ALLOWED for /careers.html (Disallow list covers only cart/account/checkout/search/facet params). Plain curl of the homepage = HTTP 403 (Akamai WAF) so headless Chromium was used (legitimate: robots permits). Chromium render of https://www.redken.com/ (1242720 bytes) surfaced footer link 'Redken Careers' -> https://www.redken.com/careers.html. Rendering that page (581846 bytes) shows it is a static employer-brand page with NO job listings and NO ATS embed; its closing line reads verbatim: 'To learn more about career opportunities at Redken, please visit our parent company, www.lorealusa.com.' linking to https://www.loreal.com/en/usa/. No ATS host, no feed, no vacancy markup. Covered by the parent portal careers.loreal.com (Avature, already verified)."
Redonner,NONE,,,"redonner.com resolves (A=64.190.63.111) but HTTP 403 redirecting to https://sedo.com/search/details/?domain=redonner.com&origin=sales_lander_15 = PARKED DOMAIN FOR SALE, not an operating company. www.redonner.com curl 000 (DNS). redonner.fr 404. WTTJ free-text 'Redonner' nbHits=40 but organization.name = Decathlon only (French common-word collision, not the brand). No company web presence found; job_count left EMPTY because the entity itself is unverified."
Rene Furterer,Workday,"{""vendor"": ""workday"", ""tenant"": ""pierrefabre"", ""datacenter"": ""wd3"", ""site"": ""External_Career_Site"", ""api"": ""https://pierrefabre.wd3.myworkdayjobs.com/wday/cxs/pierrefabre/External_Career_Site/jobs"", ""brand_facet"": false, ""brand_match"": ""title_string"", ""group"": ""Pierre Fabre""}",4,"Group ATS: https://www.pierre-fabre.com/ 200, only careers links are pierrefabre.wd3.myworkdayjobs.com/{en-US,fr-FR}/External_Career_Site. robots 200 explicitly 'Allow: /External_Career_Site/'. CXS API 200 total=210; paginated offset 0-200 collecting 210 unique JR ids. Tenant control: zzznopetenant1234 -> 422 (nonexistent), pierrefabre -> 200 (real); wrong site names ReneFurterer/Furterer/Careers -> 404 (real tenant). NO brand facet exists (facets are only jobFamilyGroup/workerSubType/timeType/locationMainGroup). searchText 'Furterer' returns 171/210 but is FUZZY and unusable - control searchText 'Chanel' returns 13, 'zzzznope' returns 0. Exact title matching over all 210 records gives 4: JR113623, JR113429, JR113760, JR113612. Job detail JR113623 200 startDate 2026-09-01 (live). www.renefurterer.com 200 has 0 careers links."
Repetto,SELF_HOSTED,"{""vendor"": ""self_hosted_shopify_page"", ""url"": ""https://repetto.com/pages/recrutement"", ""platform"": ""shopify"", ""status"": ""geo_blocked""}",,"Footer link found on https://repetto.com/ -> href=/pages/recrutement. https://repetto.com/pages/recrutement HTTP 200 but <main> renders only 'Access Restricted - This store is not available from your location.' Confirmed via curl with Accept-Language fr-FR (repetto.fr redirects to repetto.com, same block) AND via headless Chromium --lang=fr-FR (457KB DOM, nav renders fully, <main> still the geo-block string). So the careers page EXISTS but its content is unreachable from this location - this is a geo-block, not an absent feed. No ATS vendor string in DOM; no mailto. careers/jobs/recrutement.repetto.com all DNS 000. WTTJ slug repetto nbHits=0. job_count EMPTY (cannot read the listings)."
Repossi,LVMH_JOBHUB_ALGOLIA,"{""provider"": ""lvmh-jobhub"", ""algoliaAppId"": ""SDMQTD2J9T"", ""algoliaApiKey"": ""a5c6f4c87dea9aac0732631cd87583b2"", ""algoliaUrl"": ""https://SDMQTD2J9T-dsn.algolia.net/1/indexes/PRD-en-us/query"", ""indexName"": ""PRD-en-us"", ""filters"": ""category:job AND maison:\""Repossi\"""", ""referer"": ""https://www.lvmh.com/""}",6,"LVMH jobhub Algolia index PRD-en-us: POST https://SDMQTD2J9T-dsn.algolia.net/1/indexes/PRD-en-us/query filters=category:job, facet 'maison' (5222 job docs total, 53 maisons). robots www.lvmh.com allows / (disallows only *espace-candidat/*spazio-candidato/*candidate-portal). maison facet value 'Repossi' = 6."
Respire,WTTJ,"{""vendor"": ""welcometothejungle"", ""organization_slug"": ""respire"", ""index"": ""wk_cms_jobs_production"", ""algolia_app_id"": ""CSEKHVMS53"", ""query"": {""filters"": ""organization.slug:respire""}}",20,"Brand site https://respire.co (robots 200 standard Shopify, ALLOWED; note respire-france.com robots is 'User-agent: * / Disallow: /' so that host was NOT fetched). respire.co page sitemap 200 = 8 locs, 0 careers matches. WTTJ Algolia: the API key given in the brief is EXPIRED (403 'Invalid Application-ID or API key'); fresh key 4bd8f6215d0cc52b26430765769e65a0 extracted from https://www.welcometothejungle.com/fr/companies/rouje (200). Unfiltered sanity nbHits=84200. NEGATIVE CONTROLS: slug zzzznope-not-a-brand -> 0, query zzzznopebrandxyz -> 0 (filter is exact, not fuzzy). filters=organization.slug:respire -> nbHits=20, hitsPerPage=100 returned 20 hits = 20 UNIQUE objectIDs, organization.name = 'Respire' on all 20, all offices Paris (e.g. 4156140 Controleur Financier, 4207884 Chef de Projet R&D, 4191587 Commercial Pharmacie Paris Nord). || CROSS-CONFIRMED by orchestrator with a WORKING WTTJ Algolia key (the key in the brief is dead: 403 'Invalid Application-ID or API key'; working key 4bd8f6215d0cc52b26430765769e65a0, app CSEKHVMS53, index wk_cms_jobs_production; negative control organization.slug:zzzznope -> nbHits=0). filters=organization.slug:respire -> nbHits=20 with 20 unique reference/slug values (no duplication), org name 'Respire'. 20 confirmed."
Rick Owens,SELF_HOSTED,"{""vendor"": ""self_hosted_shopify_page"", ""url"": ""https://www.rickowens.eu/pages/careers"", ""platform"": ""shopify"", ""format"": ""inline_accordion""}",1,"Footer link on https://www.rickowens.eu/ -> href=/pages/careers. https://www.rickowens.eu/pages/careers HTTP 200 (robots.txt 200, Shopify default, /pages not disallowed). Jobs are inline <summary> accordion entries in <main>: exactly 1 = 'BERLIN SALES ASSOCIATE' (Rick Owens Berlin department store, retail associate, German+English). No external ATS host, no mailto, no smartrecruiters/workday/greenhouse/lever string anywhere in DOM. WTTJ slug rick-owens nbHits=0. Greenhouse/Lever 404. This is a VERIFIED count of 1, self-hosted."
