maison	kind	score	verdict	signals	board_name	jobs	sample_url	reason
Figaret Paris	wttj	0.5	AUTO-VALIDE	ancre-site(+0.5)	Figaret	2	https://www.welcometothejungle.com/fr/companies/figaret/jobs/alternance-assistant-responsable-comptable_paris	board name "Figaret" ≠ maison
Polaroid Corporation	recruitee	0.5	AUTO-VALIDE	ancre-site(+0.5)	Homepage	15	https://polaroid.recruitee.com/o/validation-architecture-engineer	board name "Homepage" ≠ maison
Ampère	recruitee	0.3	HUMAIN	domaine(+0.3)	homepage	11	https://werkenbijampere.nl/o/team-lead-depot-eindhoven-1	INDÉCIDABLE/FAUX POSITIF — werkenbijampere.nl = depot de livraison NL — le domaine matche le NOM mais pas la maison : faux positif (piege de la regle domaine)
JAEGER	recruitee	0.3	HUMAIN	domaine(+0.3)	Homepage	10	https://jobs.jaeger-ttc.com/o/maschinen-und-anlagenfuhrer-beschichten-mwd	INDÉCIDABLE/FAUX POSITIF — titres = industriel du revetement (Beschichten) — pas la maison Jaeger : faux positif
Siebel	recruitee	0.3	HUMAIN	domaine(+0.3)	Homepage	22	https://werken-bij.siebeljuweliers.nl/o/verkoopmedewerker-roosendaal-outlet-3	doublon orthographe — validé sous « Siebel Juweliers »
Yaya	recruitee	0.3	HUMAIN	domaine(+0.3)	Homepage	25	https://jobs.yaya.eu/o/area-visual-merchandiser-wmd-fur-rheinland-pfalz-hessen-teilzeit-bis-32-h	doublon orthographe — validé sous « YAYA »
Columbia	wttj	0.2	HUMAIN	nom(+0.2)	Columbia Sportswear Company	4	https://www.welcometothejungle.com/fr/companies/columbia/jobs/consumer-care-specialist-backline-cdd_schiltigheim	doublon orthographe — validé sous « Columbia Sportswear »
Cotton On Group	smartrecruiters-whitelabel	0.2	HUMAIN	nom(+0.2)	Cotton On	3	https://jobs.smartrecruiters.com/cottonon/743999671133359	doublon orthographe — validé sous « Cotton On »
DIM	greenhouse	0.2	HUMAIN	nom(+0.2)	DIM	43	https://job-boards.greenhouse.io/dim/jobs/8050647	doublon orthographe — validé sous « Dim »
Hush	lever	0.2	HUMAIN	nom(+0.2) site-injoignable(0)	HUSH	11	https://jobs.lever.co/hush/33691840-09fa-4f00-a46b-1715402f4ddd	INDÉCIDABLE/FAUX POSITIF — titres = studio de design NYC (architectural designer) — ni la marque mode UK ni la skincare : faux positif probable pour les 2
