maison,ats,config_json,job_count,evidence
Tissot,SwatchGroup-JobFinder,"{""origin"":""https://www.swatchgroup.com"",""path"":""/en/job-finder"",""pageParam"":""page"",""brandMatch"":""brands-logos/{slug}.png in card""}",9,"robots https://www.swatchgroup.com/robots.txt (fetched with curl DEFAULT UA - a Chrome UA string is WAF-blocked/timeout, so this is WAF_BLOCKED-by-UA not robots-disallowed): 'User-agent: *' disallows only /core/ /profiles/ /admin/ /search/ /user/* - /en/job-finder is ALLOWED. GET /en/job-finder?page=0..27 -> 200 each; pager 'Last' = page 27 (28 pages x 10 cards). Parsed 279 cards -> 249 UNIQUE numeric job ids (some jobs are listed under /fr/job/ and /de/job/ as well as /en/job/ - deduped on the numeric id). Brand is carried by the card logo filename /sites/default/files/brands-logos/{brand}.png. Distribution: swatch=58, swatch-group=39, eta=38, omega=33, longines=15, tissot=9, hour-passion=9, blancpain=7, meco/renata/universo/hamilton=4 each, swiss-timing/glashuette/rado/micro-crystal/breguet/rw/em-microelectronic=3, comadur=2, mom-le-prelet/cpk=1. TISSOT=9 e.g. 'Tissot Boutique Technician | Westfield Sydney', 'CDI 35h - VENDEUR H/F - TISSOT LA DEFENSE', 'Marketing Manager (all genders) Tissot'"
TOM FORD,EXTERNAL_JOBBOARD,"{""group_ats"":""altamira"",""origin"":""https://careers.zegnagroup.com"",""path"":""/jobs/job-details?JobID={id}&cngLanguage=ENG"",""brand_facet"":""Brand"",""brand_value"":""Tom ford fashion"",""jobs_link"":""https://www.linkedin.com/company/tom-ford-fashion/jobs/""}",0,"robots tomford.com ALLOWED (no careers Disallow). WAF: Chrome-UA GET https://www.tomford.com/ = 403, DEFAULT curl UA = 200 (confirms UA guidance). tomford.com sitemap.xml has only /jobs-landing.html?fdid=employment which 301s to https://www.tomfordbeauty.com/ (Shopify, no jobs). /careers /jobs /company/careers = 404 on both tomford.com and tomfordfashion.com. Zegna Group (licensee since 2023) has a dedicated page https://www.zegnagroup.com/en/tom-ford-fashion-careers/ (200) whose only jobs CTA is https://www.linkedin.com/company/tom-ford-fashion/jobs/ (LinkedIn = robots-DISALLOWED, not probed). Group ATS careers.zegnagroup.com (Altamira HRM, robots ALLOWED except /privacy,/careerarea) enumerated: 60 live JobIDs, per-job Brand field = Zegna x59 + 1 false-positive (title 'Junior Brand Control & Pricing Specialist', Brand=Zegna). ZERO TOM FORD-brand jobs in the group feed today."
TOM FORD Beauty,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com"",""brandMatch"":""name matches /tom\\s*ford/i""}",48,"Estee Lauder brand. robots https://careers.elcompanies.com/robots.txt = 'User-agent: * / Disallow: /' but explicitly 'Allow: /api/pcsx' and 'Allow: /careers' -> PARTIAL, used the allowed path. GET /api/pcsx/search?domain=elcompanies.com&start=0..1390&num=10 -> data.count=1400; harvested 1400 unique ids (num>10 is silently capped at 10 rows/page, confirmed). 48 records match /tom\s*ford/i e.g. 'TOM FORD - Counter Manager - Myer Highpoint', 'Beauty Advisor - Tom Ford - Part Time - H Beauty - Milton Keynes'. Brand's own site www.tomfordbeauty.com -> 200 links only to elcompanies.com/en/our-impact, no separate ATS (www.tomford.com -> 403 WAF)"
Too Faced,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com"",""brandMatch"":""name matches /too\\s*faced/i""}",9,"Same verified ELC Eightfold sweep (data.count=1400, 1400 unique ids harvested). 9 records match /too\s*faced/i e.g. 'Too Faced Counter Lead Sephora Glasgow', 'CDD - Demonstratrice Itinerante 35H Paris Too Faced H/F/X'. www.toofaced.com returns 403 to a Chrome UA but 200 to curl's default UA (WAF_BLOCKED by UA, not robots); rendered page carries no careers/ATS link of its own"
Totem Fashion,NONE,,0,"robots https://www.totemfashion.com/robots.txt = 200 ALLOWED (only Disallow /wp-admin/). Proven absence: full sitemap enumerated (sitemap.xml -> page-sitemap.xml 200 + post-sitemap.xml 200) = designer/press/news pages only, zero careers URL. /careers /jobs /recrutement /carrieres /nous-rejoindre /join-us /emploi ALL 404. Homepage is a one-page WordPress (Press Customizr) placeholder: only 176 Bd Haussmann Paris 8e, +33 1 44 43 84 21, info@totemfashion.com. Greenhouse/Lever/Ashby/Recruitee/Personio/Workable/SmartRecruiters slug sweep on totemfashion+totem: all 404/000 except the known always-200 decoys."
Tresor,NONE,,0,"THOM Group brand (thomgroup.com confirms the 7-brand portfolio: Histoire d'Or, Marc Orian, TresOr, Agatha, Stroili Oro, Franco Gioielli, Oro Vivo). THOM's only real careers feed is https://rejoindre.histoiredor.com (robots: 'User-agent: * / Disallow: /wp-admin/' -> ALLOWED). Its sitemap https://rejoindre.histoiredor.com/offre-demploi-sitemap1.xml (lastmod today) lists 50 /offre-demploi/ URLs; fetched 49 -> ALL 49 <title> end in '| Histoire d'or', zero titled Tresor. The listing page /offres-emploi/ has only notre-metier / type-demploi / type-temps / lieu_department filters - NO brand facet. 6 offers mention 'TresOr' but only inside the boilerplate corporate blurb 'nos sept marques (Histoire d'Or, Marc Orian, TresOr, ...)', not as the hiring brand. Group page https://thomgroup.com/talents/job-offers/ -> 200 but is a WordPress editorial page with zero job links (thomgroup.com/robots.txt -> 404). Verified ZERO brand-attributable postings on a WORKING group feed of 50 Histoire d'Or offers"
Typology,Teamtailor,"{""vendor"":""teamtailor"",""slug"":""typology-1732032895"",""origin"":""https://typology-1732032895.teamtailor.com"",""path"":""/jobs"",""careers_page"":""https://www.typology.com/rejoindre-lequipe""}",6,"robots www.typology.com = 200; generic 'User-agent: *' allows /rejoindre-lequipe (only /account/,/diagnostic/result/,/logout/ Disallowed). NOTE: typology robots Disallows 'ClaudeBot' but explicitly Allows 'Claude-User' and 'Claude-SearchBot' (user-initiated agents). Footer link /rejoindre-lequipe (200) embeds 14 teamtailor refs -> https://typology-1732032895.teamtailor.com. TT robots 200, /jobs permitted (only /app/,/messages/,/messenger/,/facebook/tab/,/jobs/internal/ Disallowed). GET /jobs = 200, 6 unique job ids counted: 6212468,7697515,7951724,8018337,8055456,8206987. NEGATIVE CONTROL: https://zzzznope-brand-xyz.teamtailor.com/jobs = 404 Teamtailor error page, so wildcard-DNS does NOT fake a 200 here."
Ujoh,NONE,,,"DOMAIN PARKED / brand site defunct - not a 403, not a DNS failure. ujoh.com resolves (148.135.17.10) but returns HTTP/2 301 (server: Caddy) with Location: https://namestar.com/domain/ujoh.com, a domain-sale marketplace which then serves a Cloudflare challenge (403 'Just a moment...'). Same 301 with both Chrome UA and default curl UA. ujoh.jp / www.ujoh.jp / ujoh.co.jp all curl 000 (no DNS). No robots.txt reachable for the brand. No careers infrastructure can exist without a live site; job_count left EMPTY (not zero) because no feed was reachable to verify. Greenhouse/Lever/Ashby/Recruitee/Personio/Workable/SmartRecruiters sweep on 'ujoh': all negative."
Ulysse Nardin,EXTERNAL_JOBBOARD,"{""careers_page"":""https://www.ulysse-nardin.com/careers"",""jobs_link"":""https://ch.linkedin.com/company/ulyssenardin""}",,"robots www.ulysse-nardin.com = 200, 'User-Agent: * / Allow: /' so /careers is ALLOWED (only */customer paths Disallowed). NOTE: robots Disallows 'ClaudeBot' specifically. /careers = 200 (Next.js). Playwright-rendered (683KB DOM): prose-only page ('WORKING FOR ULYSSE NARDIN', 'Employment opportunities') with NO job listings and NO ATS network calls - only _next static chunks, userway, onetrust, salesforce chat. Both 'Employment opportunities' CTAs link to https://ch.linkedin.com/company/ulyssenardin (LinkedIn = robots-DISALLOWED, not probed), so this is an external job board, not NONE. careers./jobs. subdomains curl 000. www.ulysse-nardin.com/sitemap.xml = 404. Page confirms owner is Sowind Group (with Girard-Perregaux); NOTE sowind.com is an UNRELATED Chinese household-goods site (title 'SOWIND_household necessities and cleaning supplies') - domain collision, no ATS. job_count EMPTY: no feed exists to count."
Uma Wang,NONE,,0,"robots https://www.umawang.com/robots.txt = 200 ALLOWED (only Disallow /wp-admin/). Proven absence: sitemap index (AIOSEO, 6 sub-sitemaps) enumerated; page-sitemap.xml = 7 pages total (/, /about-us/, /collections/, /contact/, /projects/, /stores/, /temp/) with zero careers URL, and grep for career|job|recruit across the index = 0 hits. /careers /jobs /recruitment /join-us /work-with-us /career /hiring ALL 404. Homepage footer has only About-us + Contact. ATS slug sweep on 'umawang': all negative."
