id,path,level,reason,source,dimension,observedAt,evaluatedAt,eligibleCount,agreementCount,evaluatorVersion,contradictionRate,contradictionCount
cmtsef5e000003ndnnmsmszzt,employmentType,UNTRUSTED,543 contradictions sur 753 observations (72.1 %),pvh,workTime,2026-09-07T22:22:48.71,2026-09-08T08:19:32.199,753,210,trust-v1,0.7211155378486056,543
cmtsef5gi00033ndnrowsifrb,contract_type,DEGRADED,35 contradictions sur 164 observations (21.3 %),wttj-sector,workTime,2026-09-07T22:27:02.833,2026-09-08T08:19:32.199,164,129,trust-v1,0.2134146341463415,35
cmtsef5i300063ndn9owqe1wg,employmentType,UNTRUSTED,22 contradictions sur 44 observations (50.0 %),fashionjobs,workTime,2026-09-07T23:07:24.888,2026-09-08T08:19:32.199,44,22,trust-v1,0.5,22
cmtsef5jm00093ndn73gwnep5,timeType,DEGRADED,19 contradictions sur 140 observations (13.6 %),nike,workTime,2026-09-07T22:12:11.534,2026-09-08T08:19:32.199,140,121,trust-v1,0.1357142857142857,19
cmtsef5l3000c3ndnwlpymric,timeType,TRUSTED,15 contradictions sur 297 observations (5.1 %),mango,workTime,2026-09-07T22:25:50.802,2026-09-08T08:19:32.199,297,282,trust-v1,0.0505050505050505,15
cmtsef5mn000f3ndnzp5e0rza,fullTimePartTimeFilter,TRUSTED,14 contradictions sur 786 observations (1.8 %),lvmh,workTime,2026-09-07T22:28:46.788,2026-09-08T08:19:32.199,786,772,trust-v1,0.0178117048346056,14
cmtsef5o5000i3ndnrvpku1ia,employmentType,DEGRADED,13 contradictions sur 60 observations (21.7 %),fashionjobs,employmentTerm,2026-09-07T23:07:24.976,2026-09-08T08:19:32.199,60,47,trust-v1,0.2166666666666667,13
cmtsef5s4000l3ndnhoqdkpd2,contract_type,TRUSTED,11 contradictions sur 156 observations (7.1 %),wttj-sector,employmentTerm,2026-09-07T22:27:02.786,2026-09-08T08:19:32.199,156,145,trust-v1,0.07051282051282051,11
cmtsef5tk000o3ndnsy4n0yfk,employment_type,DEGRADED,7 contradictions sur 68 observations (10.3 %),foot-locker-france,workTime,2026-09-07T22:27:39.367,2026-09-08T08:19:32.199,68,61,trust-v1,0.1029411764705882,7
cmtsef5v4000r3ndn0ez3k11o,tags2[0],DEGRADED,7 contradictions sur 68 observations (10.3 %),foot-locker-france,workTime,2026-09-07T22:27:39.367,2026-09-08T08:19:32.199,68,61,trust-v1,0.1029411764705882,7
cmtsef5wm000u3ndnxcfqga1t,timeType,DEGRADED,6 contradictions sur 53 observations (11.3 %),uniqlo-stores,workTime,2026-09-07T22:04:17.379,2026-09-08T08:19:32.199,53,47,trust-v1,0.1132075471698113,6
cmtsef5y3000x3ndnm8yts6i9,employmentType,INSUFFICIENT_EVIDENCE,"7 observations comparables, minimum 30",bevilles-jewellers,workTime,2026-09-07T22:02:31.686,2026-09-08T08:19:32.199,7,2,trust-v1,0.7142857142857143,5
cmtsef5zi00103ndnq84uge96,contract_type,INSUFFICIENT_EVIDENCE,"13 observations comparables, minimum 30",sessun,workTime,2026-09-07T22:27:01.228,2026-09-08T08:19:32.199,13,8,trust-v1,0.3846153846153846,5
cmtsef61200133ndn0oa5wmrn,employment_type_code,TRUSTED,5 contradictions sur 54 observations (9.3 %),kult-olymp-hades,workTime,2026-09-07T22:03:42.558,2026-09-08T08:19:32.199,54,49,trust-v1,0.09259259259259259,5
cmtsef62s00163ndn6zhc4kzc,contract_type[0],TRUSTED,4 contradictions sur 93 observations (4.3 %),element-6,employmentTerm,2026-09-07T22:07:39.652,2026-09-08T08:19:32.199,93,89,trust-v1,0.04301075268817205,4
cmtsef67300193ndnm3xigo9p,employmentType,INSUFFICIENT_EVIDENCE,"4 observations comparables, minimum 30",jako,programType,2026-09-07T22:02:14.579,2026-09-08T08:19:32.199,4,0,trust-v1,1,4
